flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
3010,22149,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022149.RAWJYKC.nc,01 June 2016,20875.1710814618,40.3715772567884,260.2906,0.96687096,5957.49,33.05902,-102.41469,975.5269,0.30210623,0.077941656,-0.0041498044,-0.0089368,"[20.576711977177176, 0.1005854324570724]","[20.61108542252039, 0.09373972193304063]","[0.10457756137506186, 0.011322709959893613]","[0.2691058955949132, 0.03427624613932365]",-8.774327
14234,22831,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022831.RAWJYRS.nc,01 June 2016,12343.5829568742,8.00259685891869,309.7586,0.7146757,6570.76,32.984753,-102.370316,1746.4685,1.002265,0.22455041,0.0121847205,0.010686291,"[11.928585723082922, 0.2599370909087798]","[11.901258949981296, 0.2657394112913768]","[0.11781411679318587, 0.016851314772800535]","[0.3973834857097196, 0.08015508757807306]",-19.763659
16929,23854,./lightning/LYLOUT_160601_023000_0600.dat.flash.h5,./radar/Ka1160601023854.RAWJYWY.nc,01 June 2016,12455.861432104,46.0746884609398,203.93108,0.67944163,7771.75,32.987053,-102.360855,1045.0408,0.85383785,0.19510114,-0.0026180116,-0.0014883972,"[11.913709260193079, 0.219611968845129]","[11.82958499633617, 0.16816577111008058]","[0.3905558764574518, 0.054068734249942706]","[0.6810728386842221, 0.13417293381993026]",-13.045188
8098,24450,./lightning/LYLOUT_160601_024000_0600.dat.flash.h5,./radar/Ka1160601024450.RAWJYZ5.nc,01 June 2016,13542.2169145162,9.80242404408671,480.37393,0.33740962,5672.2,32.977554,-102.2626,2451.1409,0.33206427,0.098789655,0.001797349,0.008310708,"[13.54221690683993, 0.09878963977098465]","[13.54221690683993, 0.09878963977098465]","[nan, nan]","[0.0, 0.0]",-6.4444337
1644,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,4627.55588711524,10.099473953149,439.3992,0.6246852,5737.3,33.11579,-102.32905,2811.0508,2.617177,0.567107,-0.00683895,-0.054313224,"[5.390466343965189, 0.39697187713214327]","[5.330067378910842, 0.4347186348531278]","[0.20548039251302444, 0.028675778972125587]","[0.5246452883063996, 0.08986813514910114]",3.819884
2668,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,755.795203491102,0.335991482769976,54.430935,0.53179246,7727,33.07394,-102.35391,235.48071,2.2673454,0.48277515,-0.028099166,-0.023705905,"[1.4298426025986786, 0.3624244575787868]","[1.4577723600006356, 0.4613487437472936]","[0.1407373472846985, 0.05439452938392528]","[0.5135480607915919, 0.20726078634879894]",-0.104373984
7279,25358,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025358.RAWJZ2T.nc,01 June 2016,17554.7410124755,37.0182650006649,764.3846,0.49974394,5026.15,33.015594,-102.33781,3488.4648,0.28512228,0.09655538,-0.00040045567,-0.010168222,"[9.053333137061607, 0.46621037522951764]","[9.05291996350712, 0.46975545311000955]","[0.03121448495031071, 0.015346282758896412]","[0.04753529705539026, 0.02311273225247556]",-1.0367687
8905,25508,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025508.RAWJZ38.nc,01 June 2016,803.165310791182,0.738953378846827,12.210999,0.1858679,7350.12,33.086407,-102.339035,32.218002,2.7500596,0.603951,0.0008284557,-0.025276732,"[16.368141485519054, 0.12218954563140869]","[16.631744709383312, 0.11351296488597644]","[0.3442628714959857, 0.006758946902465682]","[0.719193202867333, 0.019798934730116617]",-5.757999
11346,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,1913.46791798045,7.1149996290364,177.18896,0.8683817,8197.36,33.084003,-102.34496,1147.6543,1.7908882,0.391852,0.015760751,-0.00427895,"[1.4178366972751497, 0.41367126628756523]","[1.377447044896643, 0.4498878099676663]","[0.17227058896005945, 0.04325783535043432]","[0.49990453671076224, 0.11459374333141786]",-6.9942145
11505,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,66.5832441460208,66.583117450149,0,0.001832996,9044.96,33.080597,-102.22631,0,1.0468577,0.27194428,-0.007980718,0.0045933668,"[16.41511039221637, 0.12523781351352992]","[16.455260744987015, 0.1289158139257064]","[0.07014889104655797, 0.007672502976994119]","[0.3197196367418451, 0.03347910111877894]",-10.157476
12438,25725,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025725.RAWJZ45.nc,01 June 2016,12093.2366566658,0.577179219983875,285.54962,0.6280342,8820.07,33.089283,-102.34061,1093.4932,0.99425524,0.26981544,0.010011052,-0.01567855,"[1.5106190587297672, 0.42229562539320725]","[1.4402361279055858, 0.407389237512955]","[0.13905303084474377, 0.017877090536769245]","[0.48321364734123423, 0.06255651563691442]",-12.419833
17607,31003,./lightning/LYLOUT_160601_030000_0600.dat.flash.h5,./radar/Ka1160601031003.RAWJZE2.nc,01 June 2016,11948.1909445754,1.08221219050611,472.23285,0.65825194,6627.98,33.085155,-102.347916,2618.2195,0.5346339,0.13945797,-0.0076132454,-0.0071172533,"[0.06658324422812203, 0.2719290256500244]","[0.06658324422812203, 0.2719290256500244]","[nan, nan]","[0.0, 0.0]",-10.588866
40,53029,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053029.RAWHSME.nc,04 July 2015,14055.2333090281,1.03637887610967,105.538124,0.18920887,9217.51,34.460716,-102.14449,425.7245,0.79129493,0.16447864,-0.12186594,0.10068939,"[6.020081493000821, 0.3905111223459244]","[6.053906159535488, 0.40223462796200293]","[1.03600877045103, 0.05083322357178204]","[3.949210935301557, 0.1763850907014347]",8.145244
288,53141,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053141.RAWHSNG.nc,04 July 2015,5706.34181002703,11.7744093505626,492.75406,1.4841893,6822.03,34.369503,-102.11592,2507.3145,1.098089,0.23242065,-0.09400876,-0.10148898,"[13.054042038821473, 0.24024904838630132]","[12.982386667592367, 0.2591258619318013]","[0.2711514575227658, 0.03509392200821436]","[0.9907484402742703, 0.08721966577692682]",-11.857555
15,55032,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055032.RAWBBXM.nc,04 July 2015,15295.0737398237,4.22689244439516,681.2048,1.7987587,9011.78,34.422047,-102.08238,3778.43,0.99047846,0.22446086,-0.0012388187,-0.02226777,0,0,0,0,-6.794244
87,55359,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055359.RAWBBYU.nc,04 July 2015,11408.2447430925,3.95624659843361,667.8191,0.6003114,7724.73,34.36323,-102.12813,3757.6562,0.2751115,0.06373556,-0.00094367,0.0053110453,0,0,0,0,-3.4125743
19875,223551,./lightning/LYLOUT_150706_223000_0600.dat.flash.h5,./radar/Ka1150706223551.RAW57XY.nc,06 July 2015,2824.67451886466,75.3244609977965,12.010111,0.3663642,8034.37,33.775475,-101.940254,38.785175,0.7751872,0.20619105,0.008679861,-0.0040597613,"[16.008752384744593, 0.10522411298006773]","[16.032944955120904, 0.08909110680088272]","[0.8870619608469337, 0.030139701924961085]","[1.6734396105565272, 0.06952203542284162]",-1.7279754
11149,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3314.24078103854,2.15729295894289,79.65723,1.1570393,4956.09,33.696465,-101.92051,297.85056,1.2856201,0.30452052,0.008060852,-0.0062001646,"[11.712254698478523, 0.10061367547937802]","[11.702979483492047, 0.10569617044588624]","[0.15148689747466895, 0.02506891069985748]","[0.3759772047882557, 0.058277183025179355]",8.040728
11512,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3009.70402072717,79.752569720652,6.3345675,0.1982136,9943.9,33.720108,-101.95386,4.0102377,1.5604278,0.37793165,-0.00032557218,-0.024703864,"[7.075151188577601, 0.23721130564808846]","[7.075185051082182, 0.23712946334222557]","[0.00136481335159911, 0.0014011649729542362]","[0.002672347959274481, 0.002702454702631459]",9.496297
12592,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,4599.83078619955,48.9975353895161,15.259608,0.47090438,10376.73,33.694378,-101.90298,61.258133,1.9495988,0.4225953,0.042505883,44.75121,"[2.824675599561248, 0.2061958760023117]","[2.824675599561248, 0.2061958760023117]","[nan, nan]","[0.0, 0.0]",2.2898161
13157,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,5235.85833661969,17.5816647845977,34.59643,0.6750887,14196.6,33.722046,-101.93572,149.63063,1.358976,0.32110074,0.006148155,-0.0043669012,"[1.5593008144428335, 0.44775235652923584]","[2.1772729087512013, 0.4536738305607308]","[0.7740082073789863, 0.00741662858626037]","[1.1316017704912442, 0.010843127965927124]",-3.4869578
