flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
11505,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,66.5832441460208,66.583117450149,0,0.001832996,9044.96,33.080597,-102.22631,0,1.1085937,0.28801692,0.0056430497,-0.011072209,"[0.06658324422812203, 0.2880169153213501]","[0.06658324422812203, 0.2880169153213501]","[nan, nan]","[0.0, 0.0]",-12.493701
12438,25725,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025725.RAWJZ45.nc,01 June 2016,12093.2366566658,0.577179219983875,285.54962,0.6280342,8820.07,33.089283,-102.34061,1093.4932,0.90703124,0.24616615,0.011286099,-0.006316732,"[5.0738064973250765, 0.3586702370750053]","[5.07221734951548, 0.3463282257865606]","[0.8114739805668311, 0.06082131196739172]","[3.6854278766252784, 0.27924122242636173]",-12.392126
17607,31003,./lightning/LYLOUT_160601_030000_0600.dat.flash.h5,./radar/Ka1160601031003.RAWJZE2.nc,01 June 2016,11948.1909445754,1.08221219050611,472.23285,0.65825194,6627.98,33.085155,-102.347916,2618.2195,0.50390625,0.13143846,0.005642997,-0.023799999,"[8.749423691963527, 0.3646059768417707]","[9.407424888114472, 0.37591261355236305]","[1.266229424577934, 0.08231941012079347]","[4.716917372062445, 0.3139927749782033]",-10.462204
40,53029,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053029.RAWHSME.nc,04 July 2015,14055.2333090281,1.03637887610967,105.538124,0.18920887,9217.51,34.460716,-102.14449,425.7245,0.90703124,0.18853608,0,0.11002779,0,0,0,0,10.15748
288,53141,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053141.RAWHSNG.nc,04 July 2015,5706.34181002703,11.7744093505626,492.75406,1.4841893,6822.03,34.369503,-102.11592,2507.3145,0.45351562,0.095996305,-0.48530185,0.106953375,0,0,0,0,7.5165358
15,55032,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055032.RAWBBXM.nc,04 July 2015,15295.0737398237,4.22689244439516,681.2048,1.7987587,9011.78,34.422047,-102.08238,3778.43,1.209375,0.2740962,-0.0056430497,-0.023972545,"[16.008752384744593, 0.12768493220210075]","[16.032944955120904, 0.10878231254464155]","[0.8870619608469337, 0.036547431169303916]","[1.6734396105565272, 0.08503312024672137]",-6.297638
87,55359,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055359.RAWBBYU.nc,04 July 2015,11408.2447430925,3.95624659843361,667.8191,0.6003114,7724.73,34.36323,-102.12813,3757.6562,0.25195312,0.058370516,-0.0028215249,0.0132660745,"[11.712254698478523, 0.0931995218353612]","[11.702979483492047, 0.09548059498131493]","[0.15148689747466895, 0.017397424092409908]","[0.3759772047882557, 0.04657197692955962]",-3.7582679
18429,223551,./lightning/LYLOUT_150706_223000_0600.dat.flash.h5,./radar/Ka1150706223551.RAW57XY.nc,06 July 2015,7129.30706792202,0.227164716735388,25.41322,0.71902657,10254.38,33.740364,-101.9392,70.80956,0.6550781,0.19981144,-0.0028215316,0.00078542205,"[7.075151188577601, 0.20717434585094452]","[7.075185051082182, 0.20727245761504295]","[0.00136481335159911, 0.011739904874140655]","[0.002672347959274481, 0.02301913003126807]",-2.1330707
19875,223551,./lightning/LYLOUT_150706_223000_0600.dat.flash.h5,./radar/Ka1150706223551.RAW57XY.nc,06 July 2015,2824.67451886466,75.3244609977965,12.010111,0.3663642,8034.37,33.775475,-101.940254,38.785175,0.6550781,0.17421179,0.0056430497,-0.023772191,"[2.824675599561248, 0.174211785197258]","[2.824675599561248, 0.174211785197258]","[nan, nan]","[0.0, 0.0]",-2.031496
10587,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,2690.86770842329,34.7216651502058,3.1229577,0.2201366,12772.27,33.706856,-101.89214,3.4100323,1.8140625,0.39225858,0.020314949,-0.21934403,"[1.5593008144428335, 0.4604763090610504]","[2.1772729087512013, 0.4232223463900315]","[0.7740082073789863, 0.04666047727774978]","[1.1316017704912442, 0.06821772456169128]",-13.814173
11149,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3314.24078103854,2.15729295894289,79.65723,1.1570393,4956.09,33.696465,-101.92051,297.85056,1.3605468,0.32229325,0.006771654,-0.012214772,"[3.279483829139983, 0.2764070392586291]","[3.237643995366475, 0.29674773276084077]","[0.16578886646230584, 0.03825126160349251]","[0.4902978101626657, 0.11436697304918991]",0.6094488
11512,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3009.70402072717,79.752569720652,6.3345675,0.1982136,9943.9,33.720108,-101.95386,4.0102377,2.1164062,0.5125828,-0.00677166,-0.041533872,"[3.00970217246648, 0.5125827789306641]","[3.00970217246648, 0.5125827789306641]","[nan, nan]","[0.0, 0.0]",-6.094488
12592,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,4599.83078619955,48.9975353895161,15.259608,0.47090438,10376.73,33.694378,-101.90298,61.258133,2.2675781,0.4914898,-0.663622,-0.09966791,"[4.5998096404582025, 0.49148979783058167]","[4.5998096404582025, 0.49148979783058167]","[nan, nan]","[0.0, 0.0]",-12.595276
13157,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,5235.85833661969,17.5816647845977,34.59643,0.6750887,14196.6,33.722046,-101.93572,149.63063,2.015625,0.47628757,0.013543308,0.0044542598,"[4.875264846963959, 0.47695763111114503]","[5.155738568419013, 0.47511201046374035]","[0.15261638699073277, 0.02222984776630773]","[1.0445398867996953, 0.08745258967988315]",-1.8283465
15181,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,5000.3270913368,60.5148470061067,12.120638,0.52996886,10025.89,33.68151,-101.93195,28.29577,1.209375,0.26181743,0,0.002778336,"[5.0003213535613495, 0.26181742548942566]","[5.0003213535613495, 0.26181742548942566]","[nan, nan]","[0.0, 0.0]",4.4692917
16249,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,2930.21880753282,47.9600522923338,69.102646,0.6956882,11390.63,33.729458,-101.908554,319.58762,2.5195312,0.5613821,0,-0.022422737,"[3.0763706252403766, 0.43692412972450256]","[3.1564202665052936, 0.44051457218735146]","[0.19595771523662667, 0.031941675932210215]","[0.47782741784170907, 0.09146307594165709]",-7.719685
